MCC,MNC,国家2,运营商2
289,88,Abkhazia,A-Mobile
289,68,Abkhazia,A-Mobile
289,67,Abkhazia,Aquafon
412,88,Afghanistan,Afghan Telecom Corp. (AT)
412,80,Afghanistan,Afghan Telecom Corp. (AT)
412,1,Afghanistan,Afghan Wireless/AWCC
412,40,Afghanistan,Areeba/MTN
412,30,Afghanistan,Etisalat
412,50,Afghanistan,Etisalat
412,20,Afghanistan,Roshan/TDCA
412,3,Afghanistan,WaselTelecom (WT)
276,1,Albania,AMC/Cosmote
276,3,Albania,Eagle Mobile
276,4,Albania,PLUS Communication Sh.a
276,2,Albania,Vodafone
603,1,Algeria,ATM Mobils
603,2,Algeria,Orascom / DJEZZY
603,3,Algeria,Oreedo/Wataniya / Nedjma
544,11,American Samoa,Blue Sky Communications
213,3,Andorra,Mobiland
631,4,Angola,MoviCel
631,2,Angola,Unitel
365,840,Anguilla,Cable and Wireless
365,10,Anguilla,Digicell / Wireless Vent. Ltd
344,30,Antigua and Barbuda,APUA PCS
344,920,Antigua and Barbuda,C & W
344,930,Antigua and Barbuda,DigiCel/Cing. Wireless
722,310,Argentina Republic,Claro/ CTI/AMX
722,330,Argentina Republic,Claro/ CTI/AMX
722,320,Argentina Republic,Claro/ CTI/AMX
722,10,Argentina Republic,Compania De Radiocomunicaciones Moviles SA
722,70,Argentina Republic,Movistar/Telefonica
722,20,Argentina Republic,Nextel
722,340,Argentina Republic,Telecom Personal S.A.
722,341,Argentina Republic,Telecom Personal S.A.
283,1,Armenia,ArmenTel/Beeline
283,4,Armenia,Karabakh Telecom
283,10,Armenia,Orange
283,5,Armenia,Vivacell
363,20,Aruba,Digicel
363,2,Aruba,Digicel
363,1,Aruba,Setar GSM
505,14,Australia,AAPT Ltd.
505,24,Australia,Advanced Comm Tech Pty.
505,9,Australia,Airnet Commercial Australia Ltd..
505,4,Australia,Department of Defense
505,26,Australia,Dialogue Communications Pty Ltd
505,12,Australia,H3G Ltd.
505,6,Australia,H3G Ltd.
505,88,Australia,Localstar Holding Pty. Ltd
505,19,Australia,Lycamobile Pty Ltd
505,99,Australia,Railcorp/Vodafone
505,8,Australia,Railcorp/Vodafone
505,13,Australia,Railcorp/Vodafone
505,90,Australia,Singtel Optus
505,2,Australia,Singtel Optus
505,11,Australia,Telstra Corp. Ltd.
505,72,Australia,Telstra Corp. Ltd.
505,71,Australia,Telstra Corp. Ltd.
505,1,Australia,Telstra Corp. Ltd.
505,5,Australia,The Ozitel Network Pty.
505,16,Australia,Victorian Rail Track Corp. (VicTrack)
505,7,Australia,Vodafone
505,3,Australia,Vodafone
232,1,Austria,A1 MobilKom
232,11,Austria,A1 MobilKom
232,2,Austria,A1 MobilKom
232,9,Austria,A1 MobilKom
232,15,Austria,T-Mobile/Telering
232,10,Austria,H3G
232,14,Austria,H3G
232,12,Austria,3/Orange/One Connect
232,6,Austria,3/Orange/One Connect
232,5,Austria,3/Orange/One Connect
232,17,Austria,Spusu/Mass Response
232,3,Austria,T-Mobile/Telering
232,7,Austria,T-Mobile/Telering
232,4,Austria,T-Mobile/Telering
232,19,Austria,Tele2
232,8,Austria,A1 MobilKom
232,13,Austria,UPC Austria
400,1,Azerbaijan,Azercell Telekom B.M.
400,4,Azerbaijan,Azerfon.
400,3,Azerbaijan,Caspian American Telecommunications LLC (CATEL)
400,2,Azerbaijan,J.V. Bakcell GSM 2000
364,390,Bahamas,Bahamas Telco. Comp.
364,39,Bahamas,Bahamas Telco. Comp.
364,30,Bahamas,Bahamas Telco. Comp.
364,3,Bahamas,Smart Communications
426,1,Bahrain,Batelco
426,2,Bahrain,ZAIN/Vodafone
426,4,Bahrain,VIVA
470,2,Bangladesh,Robi/Aktel
470,5,Bangladesh,Citycell
470,6,Bangladesh,Citycell
470,1,Bangladesh,GrameenPhone
470,3,Bangladesh,Orascom/Banglalink
470,4,Bangladesh,TeleTalk
470,7,Bangladesh,Airtel/Warid
342,600,Barbados,LIME
342,810,Barbados,Cingular Wireless
342,750,Barbados,Digicel
342,50,Barbados,Digicel
342,820,Barbados,Sunbeach
257,3,Belarus,BelCel JV
257,4,Belarus,BeST
257,1,Belarus,Mobile Digital Communications
257,2,Belarus,MTS
206,20,Belgium,Base/KPN
206,1,Belgium,Belgacom/Proximus
206,6,Belgium,Lycamobile Belgium
206,10,Belgium,Mobistar/Orange
206,2,Belgium,SNCT/NMBS
206,5,Belgium,Telenet BidCo NV
702,67,Belize,DigiCell
702,68,Belize,International Telco (INTELCO)
616,4,Benin,Bell Benin/BBCOM
616,2,Benin,Etisalat/MOOV
616,5,Benin,GloMobile
616,1,Benin,Libercom
616,3,Benin,MTN/Spacetel
350,0,Bermuda,Bermuda Digital Communications Ltd (BDC)
350,99,Bermuda,CellOne Ltd
350,10,Bermuda,DigiCel / Cingular
350,2,Bermuda,M3 Wireless Ltd
350,1,Bermuda,Telecommunications (Bermuda & West Indies) Ltd (Digicel Bermuda)
402,11,Bhutan,B-Mobile
402,17,Bhutan,Bhutan Telecom Ltd (BTL)
402,77,Bhutan,TashiCell
736,2,Bolivia,Entel Pcs
736,1,Bolivia,Viva/Nuevatel
736,3,Bolivia,Tigo
218,90,Bosnia & Herzegov.,BH Mobile
218,3,Bosnia & Herzegov.,Eronet Mobile
218,5,Bosnia & Herzegov.,M-Tel
652,4,Botswana,BeMOBILE
652,1,Botswana,Mascom Wireless (Pty) Ltd.
652,2,Botswana,Orange
724,12,Brazil,Claro/Albra/America Movil
724,5,Brazil,Claro/Albra/America Movil
724,38,Brazil,Claro/Albra/America Movil
724,1,Brazil,Vivo S.A./Telemig
724,34,Brazil,CTBC Celular SA (CTBC)
724,33,Brazil,CTBC Celular SA (CTBC)
724,32,Brazil,CTBC Celular SA (CTBC)
724,8,Brazil,TIM
724,39,Brazil,Nextel (Telet)
724,0,Brazil,Nextel (Telet)
724,24,Brazil,Amazonia Celular S/A
724,30,Brazil,Oi (TNL PCS / Oi)
724,31,Brazil,Oi (TNL PCS / Oi)
724,16,Brazil,Brazil Telcom
724,54,Brazil,PORTO SEGURO TELECOMUNICACOES
724,15,Brazil,Sercontel Cel
724,7,Brazil,CTBC/Triangulo
724,19,Brazil,Vivo S.A./Telemig
724,2,Brazil,TIM
724,4,Brazil,TIM
724,3,Brazil,TIM
724,37,Brazil,Unicel do Brasil Telecomunicacoes Ltda
724,23,Brazil,Vivo S.A./Telemig
724,11,Brazil,Vivo S.A./Telemig
724,10,Brazil,Vivo S.A./Telemig
724,6,Brazil,Vivo S.A./Telemig
348,570,British Virgin Islands,Caribbean Cellular
348,770,British Virgin Islands,Digicel
348,170,British Virgin Islands,LIME
528,2,Brunei Darussalam,b-mobile
528,11,Brunei Darussalam,Datastream (DTSCom)
528,1,Brunei Darussalam,Telekom Brunei Bhd (TelBru)
284,6,Bulgaria,BTC Mobile EOOD (vivatel)
284,3,Bulgaria,BTC Mobile EOOD (vivatel)
284,5,Bulgaria,Telenor/Cosmo/Globul
284,1,Bulgaria,MobilTel AD
613,3,Burkina Faso,TeleCel
613,1,Burkina Faso,TeleMob-OnaTel
613,2,Burkina Faso,Airtel/ZAIN/CelTel
642,2,Burundi,Africel / Safaris
642,8,Burundi,Lumitel/Viettel
642,3,Burundi,Onatel / Telecel
642,7,Burundi,Smart Mobile / LACELL
642,1,Burundi,Spacetel / Econet / Leo
642,82,Burundi,Spacetel / Econet / Leo
456,4,Cambodia,Cambodia Advance Communications Co. Ltd (CADCOMMS)
456,2,Cambodia,Smart Mobile
456,8,Cambodia,Metfone
456,18,Cambodia,MFone/Camshin/Cellcard
456,1,Cambodia,Mobitel/Cam GSM
456,3,Cambodia,QB/Cambodia Adv. Comms.
456,6,Cambodia,Smart Mobile
456,5,Cambodia,Smart Mobile
456,9,Cambodia,Sotelco/Beeline
624,1,Cameroon,MTN
624,4,Cameroon,Nextel
624,2,Cameroon,Orange
302,652,Canada,BC Tel Mobility
302,630,Canada,Bell Aliant
302,610,Canada,Bell Mobility
302,651,Canada,Bell Mobility
302,670,Canada,CityWest Mobility
302,361,Canada,Clearnet
302,360,Canada,Clearnet
302,380,Canada,DMTS Mobility
302,710,Canada,Globalstar Canada
302,640,Canada,Latitude Wireless
302,370,Canada,FIDO (Rogers AT&T/ Microcell)
302,320,Canada,mobilicity
302,702,Canada,MT&T Mobility
302,660,Canada,MTS Mobility
302,655,Canada,MTS Mobility
302,701,Canada,NB Tel Mobility
302,703,Canada,New Tel Mobility
302,760,Canada,Public Mobile
302,657,Canada,Quebectel Mobility
302,720,Canada,Rogers AT&T Wireless
302,680,Canada,Sask Tel Mobility
302,654,Canada,Sask Tel Mobility
302,780,Canada,Sask Tel Mobility
302,656,Canada,Tbay Mobility
302,653,Canada,Telus Mobility
302,220,Canada,Telus Mobility
302,500,Canada,Videotron
302,490,Canada,WIND
625,1,Cape Verde,CV Movel
625,2,Cape Verde,T+ Telecom
346,50,Cayman Islands,Digicel Cayman Ltd
346,6,Cayman Islands,Digicel Ltd.
346,140,Cayman Islands,LIME / Cable & Wirel.
623,1,Central African Rep.,Centrafr. Telecom+
623,4,Central African Rep.,Nationlink
623,3,Central African Rep.,Orange/Celca
623,2,Central African Rep.,Telecel Centraf.
622,4,Chad,Salam/Sotel
622,2,Chad,Tchad Mobile
622,3,Chad,Tigo/Milicom/Tchad Mobile
622,1,Chad,Airtel/ZAIN/Celtel
730,6,Chile,Blue Two Chile SA
730,11,Chile,Celupago SA
730,15,Chile,Cibeles Telecom SA
730,3,Chile,Claro
730,10,Chile,Entel Telefonia
730,1,Chile,Entel Telefonia Mov
730,14,Chile,Netline Telefonica Movil Ltda
730,9,Chile,Nextel SA
730,5,Chile,Nextel SA
730,4,Chile,Nextel SA
730,19,Chile,Sociedad Falabella Movil SPA
730,7,Chile,TELEFONICA
730,2,Chile,TELEFONICA
730,12,Chile,Telestar Movil SA
730,0,Chile,TESAM SA
730,13,Chile,Tribe Mobile SPA
730,8,Chile,VTR Banda Ancha SA
460,7,China,China Mobile GSM
460,2,China,China Mobile GSM
460,0,China,China Mobile GSM
460,4,China,China Space Mobile Satellite Telecommunications Co. Ltd (China Spacecom)
460,3,China,China Telecom
460,5,China,China Telecom
460,6,China,China Unicom
460,1,China,China Unicom
732,130,Colombia,Avantel SAS
732,102,Colombia,Movistar
732,103,Colombia,TIGO/Colombia Movil
732,1,Colombia,TIGO/Colombia Movil
732,101,Colombia,Comcel S.A. Occel S.A./Celcaribe
732,2,Colombia,Edatel S.A.
732,187,Colombia,eTb
732,123,Colombia,Movistar
732,111,Colombia,TIGO/Colombia Movil
732,20,Colombia,UNE EPM Telecomunicaciones SA ESP
732,142,Colombia,UNE EPM Telecomunicaciones SA ESP
732,154,Colombia,Virgin Mobile Colombia SAS
654,1,Comoros,HURI - SNPT
630,90,Congo Dem. Rep.,Africell
630,86,Congo Dem. Rep.,Orange RDC sarl
630,5,Congo Dem. Rep.,SuperCell
630,89,Congo Dem. Rep.,TIGO/Oasis
630,1,Congo Dem. Rep.,Vodacom
630,88,Congo Dem. Rep.,Yozma Timeturns sprl (YTT)
630,2,Congo Dem. Rep.,Airtel/ZAIN
629,1,Congo Republic,Airtel SA
629,2,Congo Republic,Azur SA (ETC)
629,10,Congo Republic,MTN/Libertis
629,7,Congo Republic,Warid
548,1,Cook Islands,Telecom Cook Islands
712,3,Costa Rica,Claro
712,2,Costa Rica,ICE
712,1,Costa Rica,ICE
712,4,Costa Rica,Movistar
712,20,Costa Rica,Virtualis
219,1,Croatia,T-Mobile/Cronet
219,2,Croatia,Tele2
219,10,Croatia,VIPnet d.o.o.
368,1,Cuba,C-COM
362,95,Curacao,EOCG Wireless NV
362,69,Curacao,Polycom N.V./ Digicel
280,10,Cyprus,MTN/Areeba
280,20,Cyprus,PrimeTel PLC
280,1,Cyprus,Vodafone/CyTa
230,8,Czech Rep.,Compatel s.r.o.
230,2,Czech Rep.,O2
230,1,Czech Rep.,T-Mobile / RadioMobil
230,5,Czech Rep.,Travel Telekommunikation s.r.o.
230,4,Czech Rep.,Ufone
230,99,Czech Rep.,Vodafone
230,3,Czech Rep.,Vodafone
238,5,Denmark,ApS KBUS
238,23,Denmark,Banedanmark
238,28,Denmark,CoolTEL ApS
238,6,Denmark,H3G
238,12,Denmark,Lycamobile Ltd
238,3,Denmark,Mach Connectivity ApS
238,7,Denmark,Mundio Mobile
238,4,Denmark,NextGen Mobile Ltd (CardBoardFish)
238,10,Denmark,TDC Denmark
238,1,Denmark,TDC Denmark
238,77,Denmark,Telenor/Sonofon
238,2,Denmark,Telenor/Sonofon
238,20,Denmark,Telia
238,30,Denmark,Telia
638,1,Djibouti,Djibouti Telecom SA (Evatis)
366,110,Dominica,C & W
366,20,Dominica,Cingular Wireless/Digicel
366,50,Dominica,Wireless Ventures (Dominica) Ltd (Digicel Dominica)
370,2,Dominican Republic,Claro
370,1,Dominican Republic,Orange
370,3,Dominican Republic,TRIcom
370,4,Dominican Republic,Trilogy Dominicana S. A.
740,2,Ecuador,Alegro/Telcsa
740,0,Ecuador,MOVISTAR/OteCel
740,1,Ecuador,Claro/Porta
602,1,Egypt,Orange/Mobinil
602,3,Egypt,ETISALAT
602,2,Egypt,Vodafone/Mirsfone
706,1,El Salvador,CLARO/CTE
706,2,El Salvador,Digicel
706,5,El Salvador,INTELFON SA de CV
706,4,El Salvador,Telefonica
706,3,El Salvador,Telemovil
627,3,Equatorial Guinea,HiTs-GE
627,1,Equatorial Guinea,ORANGE/GETESA
657,1,Eritrea,Eritel
248,1,Estonia,EMT GSM
248,2,Estonia,Radiolinja Eesti
248,3,Estonia,Tele2 Eesti AS
248,4,Estonia,Top Connect OU
636,1,Ethiopia,ETH/MTN
750,1,Falkland Islands (Malvinas),Cable and Wireless South Atlantic Ltd (Falkland Islands
288,3,Faroe Islands,Edge Mobile Sp/F
288,1,Faroe Islands,Faroese Telecom
288,2,Faroe Islands,Kall GSM
542,2,Fiji,DigiCell
542,1,Fiji,Vodafone
244,14,Finland,Alands
244,26,Finland,Compatel Ltd
244,12,Finland,DNA/Finnet
244,4,Finland,DNA/Finnet
244,3,Finland,DNA/Finnet
244,13,Finland,DNA/Finnet
244,5,Finland,Elisa/Saunalahti
244,21,Finland,Elisa/Saunalahti
244,82,Finland,ID-Mobile
244,11,Finland,Mundio Mobile (Finland) Ltd
244,9,Finland,Nokia Oyj
244,10,Finland,TDC Oy Finland
244,91,Finland,TeliaSonera
208,27,France,AFONE SA
208,92,France,Association Plate-forme Telecom
208,28,France,Astrium
208,21,France,Bouygues Telecom
208,20,France,Bouygues Telecom
208,88,France,Bouygues Telecom
208,14,France,Lliad/FREE Mobile
208,7,France,GlobalStar
208,6,France,GlobalStar
208,5,France,GlobalStar
208,29,France,Orange
208,17,France,Legos - Local Exchange Global Operation Services SA
208,15,France,Lliad/FREE Mobile
208,16,France,Lliad/FREE Mobile
208,25,France,Lycamobile SARL
208,24,France,MobiquiThings
208,3,France,MobiquiThings
208,31,France,Mundio Mobile (France) Ltd
208,26,France,NRJ
208,89,France,Virgin Mobile/Omer
208,23,France,Virgin Mobile/Omer
208,91,France,Orange
208,2,France,Orange
208,1,France,Orange
208,11,France,S.F.R.
208,13,France,S.F.R.
208,10,France,S.F.R.
208,9,France,S.F.R.
208,4,France,SISTEER
208,0,France,Tel/Tel
208,22,France,Transatel SA
340,20,French Guiana,Bouygues/DigiCel
340,1,French Guiana,Orange Caribe
340,2,French Guiana,Outremer Telecom
340,11,French Guiana,TelCell GSM
340,3,French Guiana,TelCell GSM
547,15,French Polynesia,Pacific Mobile Telecom (PMT)
547,20,French Polynesia,Vini/Tikiphone
628,4,Gabon,Azur/Usan S.A.
628,1,Gabon,Libertis S.A.
628,2,Gabon,MOOV/Telecel
628,3,Gabon,Airtel/ZAIN/Celtel Gabon S.A.
607,2,Gambia,Africel
607,3,Gambia,Comium
607,1,Gambia,Gamcel
607,4,Gambia,Q-Cell
282,1,Georgia,Geocell Ltd.
282,3,Georgia,Iberiatel Ltd.
282,2,Georgia,Magti GSM Ltd.
282,4,Georgia,MobiTel/Beeline
282,5,Georgia,Silknet
262,17,Germany,E-Plus
262,10,Germany,DB Netz AG
262,,Germany,Debitel
262,3,Germany,E-Plus
262,5,Germany,E-Plus
262,77,Germany,E-Plus
262,12,Germany,E-Plus
262,20,Germany,E-Plus
262,14,Germany,Group 3G UMTS
262,43,Germany,Lycamobile
262,13,Germany,Mobilcom
262,7,Germany,O2
262,11,Germany,O2
262,8,Germany,O2
262,,Germany,Talkline
262,6,Germany,T-mobile/Telekom
262,1,Germany,T-mobile/Telekom
262,16,Germany,Telogic/ViStream
262,2,Germany,Vodafone D2
262,42,Germany,Vodafone D2
262,9,Germany,Vodafone D2
262,4,Germany,Vodafone D2
620,4,Ghana,Expresso Ghana Ltd
620,7,Ghana,GloMobile
620,3,Ghana,Milicom/Tigo
620,1,Ghana,MTN
620,2,Ghana,Vodafone
620,6,Ghana,Airtel/ZAIN
266,6,Gibraltar,CTS Mobile
266,9,Gibraltar,eazi telecom
266,1,Gibraltar,Gibtel GSM
202,7,Greece,AMD Telecom SA
202,2,Greece,Cosmote
202,1,Greece,Cosmote
202,14,Greece,CyTa Mobile
202,4,Greece,Organismos Sidirodromon Ellados (OSE)
202,3,Greece,OTE Hellenic Telecommunications Organization SA
202,10,Greece,Tim/Wind
202,9,Greece,Tim/Wind
202,5,Greece,Vodafone
290,1,Greenland,Tele Greenland
352,110,Grenada,Cable & Wireless
352,30,Grenada,Digicel
352,50,Grenada,Digicel
340,8,Guadeloupe,Dauphin Telecom SU (Guadeloupe Telecom)
340,10,Guadeloupe,
310,370,Guam,Docomo
310,470,Guam,Docomo
310,140,Guam,GTA Wireless
310,33,Guam,Guam Teleph. Auth.
310,32,Guam,IT&E OverSeas
311,250,Guam,Wave Runner LLC
704,1,Guatemala,Claro
704,3,Guatemala,Telefonica
704,2,Guatemala,TIGO/COMCEL
611,4,Guinea,MTN/Areeba
611,5,Guinea,Celcom
611,3,Guinea,Intercel
611,1,Guinea,Orange/Sonatel/Spacetel
611,2,Guinea,SotelGui
632,1,Guinea-Bissau,GuineTel
632,3,Guinea-Bissau,Orange
632,2,Guinea-Bissau,SpaceTel
738,2,Guyana,Cellink Plus
738,1,Guyana,DigiCel
372,1,Haiti,Comcel
372,2,Haiti,Digicel
372,3,Haiti,National Telecom SA (NatCom)
708,40,Honduras,Digicel
708,30,Honduras,HonduTel
708,1,Honduras,SERCOM/CLARO
708,2,Honduras,Telefonica/CELTEL
454,13,Hongkong China,China Mobile/Peoples
454,28,Hongkong China,China Mobile/Peoples
454,12,Hongkong China,China Mobile/Peoples
454,9,Hongkong China,China Motion
454,7,Hongkong China,China Unicom Ltd
454,11,Hongkong China,China-HongKong Telecom Ltd (CHKTL)
454,1,Hongkong China,Citic Telecom Ltd.
454,2,Hongkong China,CSL Ltd.
454,0,Hongkong China,CSL Ltd.
454,18,Hongkong China,CSL Ltd.
454,10,Hongkong China,CSL/New World PCS Ltd.
454,3,Hongkong China,H3G/Hutchinson
454,14,Hongkong China,H3G/Hutchinson
454,5,Hongkong China,H3G/Hutchinson
454,4,Hongkong China,H3G/Hutchinson
454,19,Hongkong China,HKT/PCCW
454,20,Hongkong China,HKT/PCCW
454,29,Hongkong China,HKT/PCCW
454,16,Hongkong China,HKT/PCCW
454,47,Hongkong China,shared by private TETRA systems
454,40,Hongkong China,shared by private TETRA systems
454,8,Hongkong China,Truephone
454,17,Hongkong China,Vodafone/SmarTone
454,15,Hongkong China,Vodafone/SmarTone
454,6,Hongkong China,Vodafone/SmarTone
216,1,Hungary,Pannon/Telenor
216,30,Hungary,T-mobile/Magyar
216,71,Hungary,UPC Magyarorszag Kft.
216,70,Hungary,Vodafone
274,9,Iceland,Amitelo
274,7,Iceland,IceCell
274,8,Iceland,Siminn
274,1,Iceland,Siminn
274,11,Iceland,NOVA
274,4,Iceland,VIKING/IMC
274,3,Iceland,Vodafone/Tal hf
274,5,Iceland,Vodafone/Tal hf
274,2,Iceland,Vodafone/Tal hf
404,1,India,Vodafone India
404,2,India,AirTel
404,3,India,AirTel
404,4,India,IDEA
404,5,India,Vodafone India
404,7,India,IDEA
404,9,India,Reliance
404,10,India,AirTel
404,11,India,Vodafone India
404,12,India,IDEA
404,13,India,Vodafone India
404,14,India,IDEA
404,15,India,Vodafone India
404,16,India,Airtel
404,17,India,AIRCEL
404,18,India,Reliance
404,19,India,IDEA
404,20,India,Vodafone India
404,21,India,Loop Mobile
404,22,India,IDEA
404,24,India,IDEA
404,25,India,AIRCEL
404,27,India,Vodafone India
404,28,India,AIRCEL
404,29,India,AIRCEL
404,30,India,Vodafone India
404,31,India,AirTel
404,34,India,cellone
404,36,India,Reliance
404,37,India,Aircel
404,38,India,cellone
404,40,India,AirTel
404,41,India,Aircel
404,42,India,Aircel
404,43,India,Vodafone India
404,44,India,IDEA
404,45,India,Airtel
404,46,India,Vodafone India
404,48,India,Dishnet Wireless
404,49,India,Airtel
404,50,India,Reliance
404,51,India,cellone
404,52,India,Reliance
404,53,India,cellone
404,54,India,cellone
404,55,India,cellone
404,56,India,IDEA
404,57,India,cellone
404,58,India,cellone
404,59,India,cellone
404,60,India,Vodafone India
404,62,India,cellone
404,64,India,cellone
404,66,India,cellone
404,67,India,Reliance
404,68,India,DOLPHIN
404,69,India,DOLPHIN
404,70,India,AirTel
404,71,India,cellone
404,72,India,cellone
404,73,India,cellone
404,74,India,cellone
404,75,India,cellone
404,76,India,cellone
404,77,India,cellone
404,78,India,IDEA
404,79,India,cellone
404,80,India,cellone
404,81,India,cellone
404,82,India,IDEA
404,83,India,Reliance
404,84,India,Vodafone India
404,85,India,Reliance
404,86,India,Vodafone India
404,87,India,IDEA
404,88,India,Vodafone India
404,89,India,IDEA
404,90,India,AirTel
404,91,India,AIRCEL
404,92,India,AirTel
404,93,India,AirTel
404,94,India,AirTel
404,95,India,AirTel
404,96,India,AirTel
404,97,India,AirTel
404,98,India,AirTel
405,1,India,Reliance
405,25,India,TATA DOCOMO
405,26,India,TATA DOCOMO
405,27,India,TATA DOCOMO
405,28,India,TATA DOCOMO
405,29,India,TATA DOCOMO
405,3,India,Reliance
405,30,India,TATA DOCOMO
405,31,India,TATA DOCOMO
405,32,India,TATA DOCOMO
405,33,India,TATA DOCOMO
405,34,India,TATA DOCOMO
405,35,India,TATA DOCOMO
405,36,India,TATA DOCOMO
405,37,India,TATA DOCOMO
405,38,India,TATA DOCOMO
405,39,India,TATA DOCOMO
405,4,India,Reliance
405,41,India,TATA DOCOMO
405,42,India,TATA DOCOMO
405,43,India,TATA DOCOMO
405,44,India,TATA DOCOMO
405,45,India,TATA DOCOMO
405,46,India,TATA DOCOMO
405,47,India,TATA DOCOMO
405,5,India,Reliance
405,6,India,Reliance
405,7,India,Reliance
