MCC,MNC,国家2,运营商2
420,6,Saudi Arabia,Lebara Mobile
420,1,Saudi Arabia,STC/Al Jawal
420,5,Saudi Arabia,Virgin Mobile
420,4,Saudi Arabia,Zain
608,3,Senegal,Expresso/Sudatel
608,1,Senegal,Orange/Sonatel
608,2,Senegal,TIGO/Sentel GSM
220,3,Serbia,MTS/Telekom Srbija
220,1,Serbia,Telenor/Mobtel
220,2,Serbia,Telenor/Mobtel
220,5,Serbia,VIP Mobile
633,10,Seychelles,Airtel
633,1,Seychelles,C&W
633,2,Seychelles,Smartcom
619,3,Sierra Leone,Africel
619,1,Sierra Leone,Airtel/Zain/Celtel
619,4,Sierra Leone,Comium
619,5,Sierra Leone,Africel
619,2,Sierra Leone,Tigo/Millicom
619,25,Sierra Leone,Mobitel
525,12,Singapore,GRID Communications Pte Ltd
525,3,Singapore,MobileOne Ltd
525,2,Singapore,Singtel
525,1,Singapore,Singtel
525,7,Singapore,Singtel
525,5,Singapore,Starhub
525,6,Singapore,Starhub
231,3,Slovakia,4Ka
231,6,Slovakia,O2
231,5,Slovakia,Orange
231,1,Slovakia,Orange
231,15,Slovakia,Orange
231,2,Slovakia,T-Mobile
231,4,Slovakia,T-Mobile
231,99,Slovakia,Zeleznice Slovenskej republiky (ZSR)
293,41,Slovenia,Mobitel
293,40,Slovenia,SI.Mobil
293,10,Slovenia,Slovenske zeleznice d.o.o.
293,64,Slovenia,T-2 d.o.o.
293,70,Slovenia,Telemach/TusMobil/VEGA
540,2,Solomon Islands,bemobile
540,10,Solomon Islands,BREEZE
540,1,Solomon Islands,BREEZE
637,30,Somalia,Golis
637,19,Somalia,HorTel
637,60,Somalia,Nationlink
637,10,Somalia,Nationlink
637,4,Somalia,Somafone
637,71,Somalia,Somtel
637,82,Somalia,Somtel
637,1,Somalia,Telesom
655,2,South Africa,8.ta
655,21,South Africa,Cape Town Metropolitan
655,7,South Africa,Cell C
655,10,South Africa,MTN
655,12,South Africa,MTN
655,6,South Africa,Sentech
655,1,South Africa,Vodacom
655,19,South Africa,Wireless Business Solutions (Pty) Ltd
659,3,South Sudan (Republic of),Gemtel Ltd (South Sudan
659,2,South Sudan (Republic of),MTN South Sudan (South Sudan
659,4,South Sudan (Republic of),Network of The World Ltd (NOW) (South Sudan
659,6,South Sudan (Republic of),Zain South Sudan (South Sudan
214,23,Spain,Lycamobile SL
214,22,Spain,Digi Spain Telecom SL
214,15,Spain,BT Espana  SAU
214,18,Spain,Cableuropa SAU (ONO)
214,8,Spain,Euskaltel SA
214,20,Spain,fonYou Wireless SL
214,32,Spain,ION Mobile
214,21,Spain,Jazz Telecom SAU
214,26,Spain,Lleida
214,25,Spain,Lycamobile SL
214,7,Spain,Movistar
214,5,Spain,Movistar
214,9,Spain,Orange
214,3,Spain,Orange
214,11,Spain,Orange
214,17,Spain,R Cable y Telec. Galicia SA
214,19,Spain,Simyo/KPN
214,16,Spain,Telecable de Asturias SA
214,27,Spain,Truphone
214,1,Spain,Vodafone
214,6,Spain,Vodafone Enabler Espana SL
214,4,Spain,Yoigo
413,5,Sri Lanka,Airtel
413,3,Sri Lanka,Etisalat/Tigo
413,8,Sri Lanka,H3G Hutchison
413,1,Sri Lanka,Mobitel Ltd.
413,2,Sri Lanka,MTN/Dialog
308,1,St. Pierre & Miquelon,Ameris
360,110,St. Vincent & Gren.,C & W
360,10,St. Vincent & Gren.,Cingular
360,100,St. Vincent & Gren.,Cingular
360,50,St. Vincent & Gren.,Digicel
360,70,St. Vincent & Gren.,Digicel
634,0,Sudan,Canar Telecom
634,2,Sudan,MTN
634,22,Sudan,MTN
634,15,Sudan,Sudani One
634,7,Sudan,Sudani One
634,8,Sudan,Vivacell
634,5,Sudan,Vivacell
634,6,Sudan,ZAIN/Mobitel
634,1,Sudan,ZAIN/Mobitel
746,3,Suriname,Digicel
746,1,Suriname,Telesur
746,2,Suriname,Telecommunicatiebedrijf Suriname (TELESUR)
746,4,Suriname,UNIQA
653,10,Swaziland,Swazi MTN
653,1,Swaziland,SwaziTelecom
240,35,Sweden,42 Telecom AB
240,16,Sweden,42 Telecom AB
240,26,Sweden,Beepsend
240,30,Sweden,NextGen Mobile Ltd (CardBoardFish)
240,28,Sweden,CoolTEL Aps
240,25,Sweden,Digitel Mobile Srl
240,22,Sweden,Eu Tel AB
240,27,Sweden,Fogg Mobile AB
240,18,Sweden,Generic Mobile Systems Sweden AB
240,17,Sweden,Gotalandsnatet AB
240,2,Sweden,H3G Access AB
240,4,Sweden,H3G Access AB
240,36,Sweden,ID Mobile
240,23,Sweden,Infobip Ltd.
240,11,Sweden,Lindholmen Science Park AB
240,12,Sweden,Lycamobile Ltd
240,29,Sweden,Mercury International Carrier Services
240,19,Sweden,Mundio Mobile (Sweden) Ltd
240,10,Sweden,Spring Mobil AB
240,5,Sweden,Svenska UMTS-N
240,14,Sweden,TDC Sverige AB
240,7,Sweden,Tele2 Sverige AB
240,24,Sweden,Telenor (Vodafone)
240,8,Sweden,Telenor (Vodafone)
240,6,Sweden,Telenor (Vodafone)
240,1,Sweden,Telia Mobile
240,13,Sweden,Ventelo Sverige AB
240,20,Sweden,Wireless Maingate AB
240,15,Sweden,Wireless Maingate Nordic AB
228,51,Switzerland,BebbiCell AG
228,5,Switzerland,Comfone AG
228,9,Switzerland,Comfone AG
228,7,Switzerland,TDC Sunrise
228,54,Switzerland,Lycamobile AG
228,52,Switzerland,Mundio Mobile AG
228,3,Switzerland,Salt/Orange
228,1,Switzerland,Swisscom
228,12,Switzerland,TDC Sunrise
228,2,Switzerland,TDC Sunrise
228,8,Switzerland,TDC Sunrise
228,53,Switzerland,upc cablecom GmbH
417,2,Syrian Arab Republic,MTN/Spacetel
417,9,Syrian Arab Republic,Syriatel Holdings
417,1,Syrian Arab Republic,Syriatel Holdings
466,68,Taiwan,ACeS Taiwan - ACeS Taiwan Telecommunications Co Ltd
466,5,Taiwan,Asia Pacific Telecom Co. Ltd (APT)
466,11,Taiwan,Chunghwa Telecom LDM
466,92,Taiwan,Chunghwa Telecom LDM
466,7,Taiwan,Far EasTone
466,1,Taiwan,Far EasTone
466,6,Taiwan,Far EasTone
466,2,Taiwan,Far EasTone
466,3,Taiwan,Far EasTone
466,10,Taiwan,Global Mobile Corp.
466,56,Taiwan,International Telecom Co. Ltd (FITEL)
466,88,Taiwan,KG Telecom
466,97,Taiwan,Taiwan Cellular
466,93,Taiwan,Mobitai
466,99,Taiwan,TransAsia
466,89,Taiwan,T-Star/VIBO
466,9,Taiwan,VMAX Telecom Co. Ltd
436,4,Tajikistan,Babilon-M
436,5,Tajikistan,Bee Line
436,2,Tajikistan,CJSC Indigo Tajikistan
436,12,Tajikistan,Tcell/JC Somoncom
436,3,Tajikistan,MLT/TT mobile
436,1,Tajikistan,Tcell/JC Somoncom
640,8,Tanzania,Benson Informatics Ltd
640,6,Tanzania,Dovetel (T) Ltd
640,9,Tanzania,Halotel/Viettel Ltd
640,11,Tanzania,Smile Communications Tanzania Ltd
640,7,Tanzania,Tanzania Telecommunications Company Ltd (TTCL)
640,2,Tanzania,TIGO/MIC
640,1,Tanzania,Tri Telecomm. Ltd.
640,4,Tanzania,Vodacom Ltd
640,5,Tanzania,Airtel/ZAIN/Celtel
640,3,Tanzania,Zantel/Zanzibar Telecom
520,20,Thailand,ACeS Thailand - ACeS Regional Services Co Ltd
520,15,Thailand,ACT Mobile
520,3,Thailand,Advanced Wireless Networks/AWN
520,1,Thailand,AIS/Advanced Info Service
520,23,Thailand,Digital Phone Co.
520,0,Thailand,Hutch/CAT CDMA
520,5,Thailand,Total Access (DTAC)
520,18,Thailand,Total Access (DTAC)
520,99,Thailand,True Move/Orange
520,4,Thailand,True Move/Orange
514,1,Timor-Leste,Telin/ Telkomcel
514,2,Timor-Leste,Timor Telecom
615,2,Togo,Telecel/MOOV
615,3,Togo,Telecel/MOOV
615,1,Togo,Togo Telecom/TogoCELL
539,43,Tonga,Shoreline Communication
539,1,Tonga,Tonga Communications
374,120,Trinidad and Tobago,Bmobile/TSTT
374,12,Trinidad and Tobago,Bmobile/TSTT
374,130,Trinidad and Tobago,Digicel
374,140,Trinidad and Tobago,LaqTel Ltd.
605,1,Tunisia,Orange
605,3,Tunisia,Oreedo/Orascom
605,2,Tunisia,TuniCell/Tunisia Telecom
605,6,Tunisia,TuniCell/Tunisia Telecom
286,4,Turkey,AVEA/Aria
286,3,Turkey,AVEA/Aria
286,1,Turkey,Turkcell
286,2,Turkey,Vodafone-Telsim
438,1,Turkmenistan,MTS/Barash Communication
438,2,Turkmenistan,Altyn Asyr/TM-Cell
376,350,Turks and Caicos Islands,Cable & Wireless (TCI) Ltd
376,50,Turks and Caicos Islands,Digicel TCI Ltd
376,352,Turks and Caicos Islands,IslandCom Communications Ltd.
553,1,Tuvalu,Tuvalu Telecommunication Corporation (TTC)
641,1,Uganda,Airtel/Celtel
641,66,Uganda,i-Tel Ltd
641,30,Uganda,K2 Telecom Ltd
641,10,Uganda,MTN Ltd.
641,14,Uganda,Orange
641,33,Uganda,Smile Communications Uganda Ltd
641,18,Uganda,Suretelecom Uganda Ltd
641,11,Uganda,Uganda Telecom Ltd.
641,22,Uganda,Airtel/Warid
255,6,Ukraine,Astelit/LIFE
255,5,Ukraine,Golden Telecom
255,39,Ukraine,Golden Telecom
255,4,Ukraine,Intertelecom Ltd (IT)
255,67,Ukraine,KyivStar
255,3,Ukraine,KyivStar
255,21,Ukraine,Telesystems Of Ukraine CJSC (TSU)
255,7,Ukraine,TriMob LLC
255,50,Ukraine,UMC/MTS
255,2,Ukraine,Beeline
255,1,Ukraine,UMC/MTS
255,68,Ukraine,Beeline
424,3,United Arab Emirates,DU
424,2,United Arab Emirates,Etisalat
430,2,United Arab Emirates,Etisalat
431,2,United Arab Emirates,Etisalat
234,3,United Kingdom,Airtel/Vodafone
234,77,United Kingdom,BT Group
234,76,United Kingdom,BT Group
234,7,United Kingdom,Cable and Wireless
234,92,United Kingdom,Cable and Wireless
234,36,United Kingdom,Cable and Wireless Isle of Man
234,18,United Kingdom,Cloud9/wire9 Tel.
235,2,United Kingdom,Everyth. Ev.wh.
234,17,United Kingdom,FlexTel
234,55,United Kingdom,Guernsey Telecoms
234,14,United Kingdom,HaySystems
234,94,United Kingdom,H3G Hutchinson
234,20,United Kingdom,H3G Hutchinson
234,75,United Kingdom,Inquam Telecom Ltd
234,50,United Kingdom,Jersey Telecom
234,35,United Kingdom,JSC Ingenicum
234,26,United Kingdom,Lycamobile
234,58,United Kingdom,Manx Telecom
234,1,United Kingdom,Mapesbury C. Ltd
234,28,United Kingdom,Marthon Telecom
234,10,United Kingdom,O2 Ltd.
234,2,United Kingdom,O2 Ltd.
234,11,United Kingdom,O2 Ltd.
234,8,United Kingdom,OnePhone
234,16,United Kingdom,Opal Telecom
234,34,United Kingdom,Everyth. Ev.wh./Orange
234,33,United Kingdom,Everyth. Ev.wh./Orange
234,19,United Kingdom,PMN/Teleware
234,12,United Kingdom,Railtrack Plc
234,22,United Kingdom,Routotelecom
234,57,United Kingdom,Sky UK Limited
234,24,United Kingdom,Stour Marine
234,37,United Kingdom,Synectiv Ltd.
234,31,United Kingdom,Everyth. Ev.wh./T-Mobile
234,30,United Kingdom,Everyth. Ev.wh./T-Mobile
234,32,United Kingdom,Everyth. Ev.wh./T-Mobile
234,27,United Kingdom,Vodafone
234,9,United Kingdom,Tismi
234,25,United Kingdom,Truphone
234,51,United Kingdom,Jersey Telecom
234,23,United Kingdom,Vectofone Mobile Wifi
234,91,United Kingdom,Vodafone
234,15,United Kingdom,Vodafone
234,78,United Kingdom,Wave Telecom Ltd
310,50,United States,
310,880,United States,
310,850,United States,Aeris Comm. Inc.
310,640,United States,
310,510,United States,Airtel Wireless LLC
310,190,United States,Unknown
312,90,United States,Allied Wireless Communications Corporation
311,130,United States,
310,710,United States,Arctic Slope Telephone Association Cooperative Inc.
310,560,United States,AT&T Wireless Inc.
310,410,United States,AT&T Wireless Inc.
310,380,United States,AT&T Wireless Inc.
310,170,United States,AT&T Wireless Inc.
310,150,United States,AT&T Wireless Inc.
310,680,United States,AT&T Wireless Inc.
310,70,United States,AT&T Wireless Inc.
310,980,United States,AT&T Wireless Inc.
311,810,United States,Bluegrass Wireless LLC
311,800,United States,Bluegrass Wireless LLC
311,440,United States,Bluegrass Wireless LLC
310,900,United States,Cable & Communications Corp.
311,590,United States,California RSA No. 3 Limited Partnership
311,500,United States,Cambridge Telephone Company Inc.
310,830,United States,Caprock Cellular Ltd.
310,12,United States,Verizon Wireless
311,280,United States,Verizon Wireless
311,485,United States,Verizon Wireless
311,110,United States,Verizon Wireless
311,285,United States,Verizon Wireless
311,274,United States,Verizon Wireless
311,390,United States,Verizon Wireless
310,10,United States,Verizon Wireless
311,279,United States,Verizon Wireless
311,484,United States,Verizon Wireless
310,910,United States,Verizon Wireless
311,284,United States,Verizon Wireless
311,489,United States,Verizon Wireless
311,273,United States,Verizon Wireless
311,289,United States,Verizon Wireless
310,4,United States,Verizon Wireless
311,278,United States,Verizon Wireless
311,483,United States,Verizon Wireless
310,890,United States,Verizon Wireless
311,283,United States,Verizon Wireless
311,488,United States,Verizon Wireless
311,272,United States,Verizon Wireless
311,288,United States,Verizon Wireless
311,277,United States,Verizon Wireless
311,482,United States,Verizon Wireless
310,590,United States,Verizon Wireless
311,282,United States,Verizon Wireless
311,487,United States,Verizon Wireless
311,271,United States,Verizon Wireless
311,287,United States,Verizon Wireless
311,276,United States,Verizon Wireless
311,481,United States,Verizon Wireless
310,13,United States,Verizon Wireless
311,281,United States,Verizon Wireless
311,486,United States,Verizon Wireless
311,270,United States,Verizon Wireless
311,286,United States,Verizon Wireless
311,275,United States,Verizon Wireless
311,480,United States,Verizon Wireless
310,360,United States,Cellular Network Partnership LLC
312,280,United States,Cellular Network Partnership LLC
312,270,United States,Cellular Network Partnership LLC
311,190,United States,
310,30,United States,
311,120,United States,Choice Phone LLC
310,480,United States,Choice Phone LLC
310,630,United States,
310,420,United States,Cincinnati Bell Wireless LLC
310,180,United States,Cingular Wireless
310,620,United States,Coleman County Telco /Trans TX
311,40,United States,
310,6,United States,Consolidated Telcom
310,60,United States,Consolidated Telcom
310,26,United States,
312,380,United States,
310,930,United States,
311,240,United States,
310,80,United States,
310,700,United States,Cross Valliant Cellular Partnership
312,30,United States,Cross Wireless Telephone Co.
311,140,United States,Cross Wireless Telephone Co.
311,520,United States,
312,40,United States,Custer Telephone Cooperative Inc.
310,440,United States,Dobson Cellular Systems
310,990,United States,E.N.M.R. Telephone Coop.
312,130,United States,East Kentucky Network LLC
312,120,United States,East Kentucky Network LLC
310,750,United States,East Kentucky Network LLC
310,90,United States,Edge Wireless LLC
310,610,United States,Elkhart TelCo. / Epic Touch Co.
311,210,United States,
311,311,United States,Farmers
311,460,United States,Fisher Wireless Services Inc.
311,370,United States,GCI Communication Corp.
310,430,United States,GCI Communication Corp.
310,920,United States,Get Mobile Inc.
310,970,United States,
311,340,United States,Illinois Valley Cellular RSA 2 Partnership
311,30,United States,
312,170,United States,Iowa RSA No. 2 Limited Partnership
311,410,United States,Iowa RSA No. 2 Limited Partnership
310,770,United States,Iowa Wireless Services LLC
310,650,United States,Jasper
310,870,United States,Kaplan Telephone Company Inc.
310,690,United States,Keystone Wireless LLC
312,180,United States,Keystone Wireless LLC
311,310,United States,Lamar County Cellular
310,16,United States,Leap Wireless International Inc.
311,90,United States,
310,40,United States,Matanuska Tel. Assn. Inc.
310,780,United States,Message Express Co. / Airlink PCS
311,660,United States,
311,330,United States,Michigan Wireless LLC
311,0,United States,
310,400,United States,Minnesota South. Wirel. Co. / Hickory
312,10,United States,Missouri RSA No 5 Partnership
311,920,United States,Missouri RSA No 5 Partnership
311,20,United States,Missouri RSA No 5 Partnership
311,10,United States,Missouri RSA No 5 Partnership
312,220,United States,Missouri RSA No 5 Partnership
310,350,United States,Mohave Cellular LP
310,570,United States,MTPCS LLC
310,290,United States,NEP Cellcorp Inc.
310,34,United States,Nevada Wireless LLC
311,380,United States,
310,600,United States,New-Cell Inc.
311,100,United States,
311,300,United States,Nexus Communications Inc.
310,130,United States,North Carolina RSA 3 Cellular Tel. Co.
312,230,United States,North Dakota Network Company
311,610,United States,North Dakota Network Company
310,450,United States,Northeast Colorado Cellular Inc.
311,710,United States,Northeast Wireless Networks LLC
310,670,United States,Northstar
310,11,United States,Northstar
311,420,United States,Northwest Missouri Cellular Limited Partnership
310,540,United States,
310,760,United States,Panhandle Telephone Cooperative Inc.
310,580,United States,PCS ONE
311,170,United States,PetroCom
311,670,United States,Pine Belt Cellular Inc.
311,80,United States,
310,790,United States,
310,100,United States,Plateau Telecommunications Inc.
310,940,United States,Poka Lambro Telco Ltd.
311,540,United States,
311,730,United States,
310,500,United States,Public Service Cellular Inc.
312,160,United States,RSA 1 Limited Partnership
311,430,United States,RSA 1 Limited Partnership
311,350,United States,Sagebrush Cellular Inc.
311,910,United States,
310,46,United States,SIMMETRY
311,260,United States,SLO Cellular Inc / Cellular One of San Luis
310,320,United States,Smith Bagley Inc.
310,15,United States,Unknown
316,11,United States,Southern Communications Services Inc.
312,530,United States,Sprint Spectrum
310,120,United States,Sprint Spectrum
316,10,United States,Sprint Spectrum
312,190,United States,Sprint Spectrum
311,880,United States,Sprint Spectrum
311,870,United States,Sprint Spectrum
311,490,United States,Sprint Spectrum
310,160,United States,T-Mobile
310,240,United States,T-Mobile
310,660,United States,T-Mobile
310,230,United States,T-Mobile
310,31,United States,T-Mobile
310,220,United States,T-Mobile
310,270,United States,T-Mobile
310,210,United States,T-Mobile
310,260,United States,T-Mobile
310,200,United States,T-Mobile
310,250,United States,T-Mobile
310,800,United States,T-Mobile
310,300,United States,T-Mobile
310,280,United States,T-Mobile
310,330,United States,T-Mobile
310,310,United States,T-Mobile
311,740,United States,
310,740,United States,Telemetrix Inc.
310,14,United States,Testing
310,950,United States,Unknown
310,860,United States,Texas RSA 15B2 Limited Partnership
311,50,United States,Thumb Cellular Limited Partnership
311,830,United States,Thumb Cellular Limited Partnership
310,460,United States,TMP Corporation
310,490,United States,Triton PCS
312,290,United States,Uintah Basin Electronics Telecommunications Inc.
311,860,United States,Uintah Basin Electronics Telecommunications Inc.
310,960,United States,Uintah Basin Electronics Telecommunications Inc.
310,20,United States,Union Telephone Co.
311,220,United States,United States Cellular Corp.
310,730,United States,United States Cellular Corp.
311,650,United States,United Wireless Communications Inc.
310,38,United States,USA 3650 AT&T
310,520,United States,VeriSign
310,3,United States,Unknown
310,23,United States,Unknown
310,24,United States,Unknown
310,25,United States,Unknown
310,530,United States,West Virginia Wireless
310,26,United States,Unknown
310,340,United States,Westlink Communications LLC
311,150,United States,
311,70,United States,Wisconsin RSA #7 Limited Partnership
310,390,United States,Yorkville Telephone Cooperative
748,3,Uruguay,Ancel/Antel
748,1,Uruguay,Ancel/Antel
748,10,Uruguay,Claro/AM Wireless
748,7,Uruguay,MOVISTAR
434,4,Uzbekistan,Bee Line/Unitel
434,1,Uzbekistan,Buztel
434,7,Uzbekistan,MTS/Uzdunrobita
434,5,Uzbekistan,Ucell/Coscom
434,2,Uzbekistan,Uzmacom
541,5,Vanuatu,DigiCel
541,1,Vanuatu,SMILE
734,3,Venezuela,DigiTel C.A.
734,2,Venezuela,DigiTel C.A.
734,1,Venezuela,DigiTel C.A.
734,6,Venezuela,Movilnet C.A.
734,4,Venezuela,Movistar/TelCel
452,7,Viet Nam,Beeline
452,1,Viet Nam,Mobifone
452,3,Viet Nam,S-Fone/Telecom
452,5,Viet Nam,VietnaMobile
452,8,Viet Nam,Viettel Mobile
452,6,Viet Nam,Viettel Mobile
452,4,Viet Nam,Viettel Mobile
452,2,Viet Nam,Vinaphone
376,50,Virgin Islands U.S.,Digicel
421,4,Yemen,HITS/Y Unitel
421,2,Yemen,MTN/Spacetel
421,1,Yemen,Sabaphone
421,3,Yemen,Yemen Mob. CDMA
645,3,Zambia,Zamtel/Cell Z/MTS
645,2,Zambia,MTN/Telecel
645,1,Zambia,Airtel/Zain/Celtel
648,4,Zimbabwe,Econet
648,1,Zimbabwe,Net One
648,3,Zimbabwe,Telecel
